price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
685000.0,4,2.5,2770,45514,2.0,0,0,4,2770,0,1989,0
857000.0,4,3.0,3720,29043,2.0,0,0,3,3720,0,1991,0
675000.0,4,2.5,2810,11120,2.0,0,0,3,2810,0,1982,0
1485000.0,4,3.75,4030,10800,2.0,0,0,3,4030,0,2006,0
561000.0,3,2.0,2000,7000,2.0,0,0,3,2000,0,1916,1986
506000.0,5,3.0,2430,8000,1.0,0,0,4,1370,1060,1957,2001
439000.0,4,2.25,2570,9503,2.0,0,0,3,2570,0,1980,0
475000.0,3,1.75,1700,8432,1.0,0,0,3,1230,470,1977,2004
516500.0,1,1.25,1100,638,3.0,0,0,3,1100,0,2014,0
337500.0,5,2.0,1700,7314,1.0,0,0,3,1000,700,1956,2001
372500.0,3,1.5,1180,12324,1.0,0,0,3,800,380,1981,2013
968000.0,6,2.75,3610,17580,1.0,0,4,5,2070,1540,1959,0
461000.0,3,1.75,3600,8666,2.0,0,0,4,2400,1200,1948,0
1300000.0,5,4.0,3366,7800,2.5,0,2,3,2966,400,1937,1999
530000.0,3,2.75,3400,7200,2.0,0,2,3,2470,930,2009,0
574950.0,5,3.25,3160,10000,2.0,0,0,4,3160,0,1980,0
765000.0,5,3.0,2870,5700,1.0,0,0,3,1950,920,1964,2000
415000.0,3,2.25,1970,2377,2.0,0,0,3,1680,290,2008,0
559950.0,2,2.0,1870,4950,1.0,0,0,3,1870,0,2006,0
262500.0,3,1.5,1160,8906,1.0,0,0,3,1160,0,1962,2003
277000.0,3,1.0,1100,8536,1.0,0,0,4,1100,0,1957,2001
230000.0,3,1.0,1060,9946,1.0,0,0,4,1060,0,1956,0
485000.0,4,1.75,1430,4096,2.0,0,0,3,1430,0,1900,2005
1800000.0,5,5.0,4490,10279,2.0,0,0,3,3930,560,2013,1923
405125.0,4,2.75,4230,31747,2.0,0,0,4,4230,0,1985,0
265000.0,3,1.75,1840,7300,1.0,0,0,3,1840,0,1966,1963
259585.5714,4,2.5,1960,9898,2.0,0,0,3,1960,0,2001,0
620000.0,3,1.5,1620,6630,1.0,0,0,3,1280,340,1954,2005
385000.0,3,3.25,1630,1677,3.0,0,0,3,1630,0,2007,0
300000.0,2,1.75,1360,8100,1.0,0,0,3,860,500,1975,0
386000.0,3,1.5,1270,1318,2.0,0,0,3,1080,190,2004,2003
760000.0,3,2.5,1980,13964,1.0,0,0,5,1980,0,1959,0
609000.0,3,1.75,1630,1526,3.0,0,0,3,1630,0,2014,0
312500.0,2,1.0,880,6345,1.0,0,0,3,880,0,1919,2001
947500.0,3,2.75,2980,27144,1.5,1,2,5,2180,800,1917,0
390000.0,3,2.25,1250,7500,1.0,0,0,5,1250,0,1942,0
859000.0,4,2.25,3550,13900,1.0,0,0,3,1830,1720,2010,0
650000.0,4,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010
385000.0,3,2.25,1920,4833,1.0,0,0,4,1060,860,1921,0
325000.0,3,2.5,2070,8337,2.0,0,0,3,2070,0,1997,0
556000.0,3,1.75,1640,7437,1.0,0,0,3,1090,550,1948,1994
409950.0,2,1.75,1370,5125,1.0,0,0,5,1370,0,1944,0
